Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	frag_length_mean	frag_length_sd	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
salmon.etoh60_1	1.4.0	none	vb	[]	1	['IU']	1001	504.523411917614	275.90772775663766	False	False	4096	mapping	False	6571	0	7611	False	['range_factorized', 'gzipped']	[438, 855, 1311, 1968, 14733]	d7c5bf09a921c525dbb3d7838b0e433b06bf7c3ef3531fea8371daf265dfdfa9	3e0ef6eb58588d523127de4f86189267d7083a553d404ff65e062c6d28674306	1aa38e38eb0522c49632f8777744f035f37051b65af1fa7f76a9da08010adf1051578bb39a05edc2cdc9c4c0d0ea1610ddae42eed2e62c3fc1044fe79153f15e	af8f24155f08e41fe68d1de65ef70d364b5db5423a27352675d35a11b5d083b2f48f1fb4fb0bd7fe3c72f4ca17aca74bc06a65bc98b189ab6177fb7571159a53	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	21218	17028	0	161	1389	1466	80.25261570364785	quant	Mon Nov 13 05:07:20 2023	Mon Nov 13 05:07:21 2023
salmon.etoh60_2	1.4.0	none	vb	[]	1	['IU']	1001	376.02368276112384	273.7661035653067	False	False	4096	mapping	False	6571	0	7948	False	['range_factorized', 'gzipped']	[438, 855, 1311, 1968, 14733]	d7c5bf09a921c525dbb3d7838b0e433b06bf7c3ef3531fea8371daf265dfdfa9	3e0ef6eb58588d523127de4f86189267d7083a553d404ff65e062c6d28674306	1aa38e38eb0522c49632f8777744f035f37051b65af1fa7f76a9da08010adf1051578bb39a05edc2cdc9c4c0d0ea1610ddae42eed2e62c3fc1044fe79153f15e	af8f24155f08e41fe68d1de65ef70d364b5db5423a27352675d35a11b5d083b2f48f1fb4fb0bd7fe3c72f4ca17aca74bc06a65bc98b189ab6177fb7571159a53	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	22011	17915	0	297	1325	1394	81.39112262050793	quant	Mon Nov 13 05:06:25 2023	Mon Nov 13 05:06:26 2023
salmon.etoh60_3	1.4.0	none	vb	[]	1	['IU']	1001	368.8803383890645	280.8127741900853	False	False	4096	mapping	False	6571	0	8334	False	['range_factorized', 'gzipped']	[438, 855, 1311, 1968, 14733]	d7c5bf09a921c525dbb3d7838b0e433b06bf7c3ef3531fea8371daf265dfdfa9	3e0ef6eb58588d523127de4f86189267d7083a553d404ff65e062c6d28674306	1aa38e38eb0522c49632f8777744f035f37051b65af1fa7f76a9da08010adf1051578bb39a05edc2cdc9c4c0d0ea1610ddae42eed2e62c3fc1044fe79153f15e	af8f24155f08e41fe68d1de65ef70d364b5db5423a27352675d35a11b5d083b2f48f1fb4fb0bd7fe3c72f4ca17aca74bc06a65bc98b189ab6177fb7571159a53	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	25507	20697	0	872	1480	1608	81.14243148939508	quant	Mon Nov 13 05:03:38 2023	Mon Nov 13 05:03:39 2023
salmon.ref_1	1.4.0	none	vb	[]	1	['IU']	1001	335.2293937033465	272.5883320839472	False	False	4096	mapping	False	6571	0	5996	False	['range_factorized', 'gzipped']	[438, 855, 1311, 1968, 14733]	d7c5bf09a921c525dbb3d7838b0e433b06bf7c3ef3531fea8371daf265dfdfa9	3e0ef6eb58588d523127de4f86189267d7083a553d404ff65e062c6d28674306	1aa38e38eb0522c49632f8777744f035f37051b65af1fa7f76a9da08010adf1051578bb39a05edc2cdc9c4c0d0ea1610ddae42eed2e62c3fc1044fe79153f15e	af8f24155f08e41fe68d1de65ef70d364b5db5423a27352675d35a11b5d083b2f48f1fb4fb0bd7fe3c72f4ca17aca74bc06a65bc98b189ab6177fb7571159a53	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	14215	11678	0	78	810	885	82.15265564544495	quant	Mon Nov 13 04:48:26 2023	Mon Nov 13 04:48:28 2023
salmon.ref_2	1.4.0	none	vb	[]	1	['IU']	1001	359.64620983610706	292.9376955130274	False	False	4096	mapping	False	6571	0	7898	False	['range_factorized', 'gzipped']	[438, 855, 1311, 1968, 14733]	d7c5bf09a921c525dbb3d7838b0e433b06bf7c3ef3531fea8371daf265dfdfa9	3e0ef6eb58588d523127de4f86189267d7083a553d404ff65e062c6d28674306	1aa38e38eb0522c49632f8777744f035f37051b65af1fa7f76a9da08010adf1051578bb39a05edc2cdc9c4c0d0ea1610ddae42eed2e62c3fc1044fe79153f15e	af8f24155f08e41fe68d1de65ef70d364b5db5423a27352675d35a11b5d083b2f48f1fb4fb0bd7fe3c72f4ca17aca74bc06a65bc98b189ab6177fb7571159a53	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	19861	16626	0	56	1129	1210	83.71179698907406	quant	Mon Nov 13 05:05:45 2023	Mon Nov 13 05:05:46 2023
salmon.ref_3	1.4.0	none	vb	[]	1	['IU']	1001	266.9130984750859	248.75086201667324	False	False	4096	mapping	False	6571	0	5500	False	['range_factorized', 'gzipped']	[438, 855, 1311, 1968, 14733]	d7c5bf09a921c525dbb3d7838b0e433b06bf7c3ef3531fea8371daf265dfdfa9	3e0ef6eb58588d523127de4f86189267d7083a553d404ff65e062c6d28674306	1aa38e38eb0522c49632f8777744f035f37051b65af1fa7f76a9da08010adf1051578bb39a05edc2cdc9c4c0d0ea1610ddae42eed2e62c3fc1044fe79153f15e	af8f24155f08e41fe68d1de65ef70d364b5db5423a27352675d35a11b5d083b2f48f1fb4fb0bd7fe3c72f4ca17aca74bc06a65bc98b189ab6177fb7571159a53	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	12777	10390	0	285	750	798	81.31799326915551	quant	Mon Nov 13 05:06:05 2023	Mon Nov 13 05:06:06 2023
salmon.temp33_1	1.4.0	none	vb	[]	1	['IU']	1001	351.55629148424316	236.5362585910986	False	False	4096	mapping	False	6571	0	7764	False	['range_factorized', 'gzipped']	[438, 855, 1311, 1968, 14733]	d7c5bf09a921c525dbb3d7838b0e433b06bf7c3ef3531fea8371daf265dfdfa9	3e0ef6eb58588d523127de4f86189267d7083a553d404ff65e062c6d28674306	1aa38e38eb0522c49632f8777744f035f37051b65af1fa7f76a9da08010adf1051578bb39a05edc2cdc9c4c0d0ea1610ddae42eed2e62c3fc1044fe79153f15e	af8f24155f08e41fe68d1de65ef70d364b5db5423a27352675d35a11b5d083b2f48f1fb4fb0bd7fe3c72f4ca17aca74bc06a65bc98b189ab6177fb7571159a53	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	19967	16703	0	64	1171	1266	83.65302749536735	quant	Mon Nov 13 05:07:09 2023	Mon Nov 13 05:07:10 2023
salmon.temp33_2	1.4.0	none	vb	[]	1	['IU']	1001	327.12919418784554	283.769769034147	False	False	4096	mapping	False	6571	0	6574	False	['range_factorized', 'gzipped']	[438, 855, 1311, 1968, 14733]	d7c5bf09a921c525dbb3d7838b0e433b06bf7c3ef3531fea8371daf265dfdfa9	3e0ef6eb58588d523127de4f86189267d7083a553d404ff65e062c6d28674306	1aa38e38eb0522c49632f8777744f035f37051b65af1fa7f76a9da08010adf1051578bb39a05edc2cdc9c4c0d0ea1610ddae42eed2e62c3fc1044fe79153f15e	af8f24155f08e41fe68d1de65ef70d364b5db5423a27352675d35a11b5d083b2f48f1fb4fb0bd7fe3c72f4ca17aca74bc06a65bc98b189ab6177fb7571159a53	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	15357	12790	0	408	819	867	83.28449566972716	quant	Mon Nov 13 05:03:59 2023	Mon Nov 13 05:04:00 2023
salmon.temp33_3	1.4.0	none	vb	[]	1	['IU']	1001	596.216291929012	324.4379213089375	False	False	4096	mapping	False	6571	0	8566	False	['range_factorized', 'gzipped']	[438, 855, 1311, 1968, 14733]	d7c5bf09a921c525dbb3d7838b0e433b06bf7c3ef3531fea8371daf265dfdfa9	3e0ef6eb58588d523127de4f86189267d7083a553d404ff65e062c6d28674306	1aa38e38eb0522c49632f8777744f035f37051b65af1fa7f76a9da08010adf1051578bb39a05edc2cdc9c4c0d0ea1610ddae42eed2e62c3fc1044fe79153f15e	af8f24155f08e41fe68d1de65ef70d364b5db5423a27352675d35a11b5d083b2f48f1fb4fb0bd7fe3c72f4ca17aca74bc06a65bc98b189ab6177fb7571159a53	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	21597	18548	0	91	1057	1129	85.88229846737973	quant	Mon Nov 13 05:04:09 2023	Mon Nov 13 05:04:10 2023
